window_id,experimental_day,condition,infected,infection_days,label,readings_in_window,source_row_start,source_row_end,timestamp_start_ms,timestamp_end_ms,temperature_c_mean,temperature_c_std,temperature_c_min,temperature_c_max,temperature_c_range,temperature_c_slope,humidity_pct_mean,humidity_pct_std,humidity_pct_min,humidity_pct_max,humidity_pct_range,humidity_pct_slope,pressure_pa_mean,pressure_pa_std,pressure_pa_min,pressure_pa_max,pressure_pa_range,pressure_pa_slope,gas_resistance_ohm_mean,gas_resistance_ohm_std,gas_resistance_ohm_min,gas_resistance_ohm_max,gas_resistance_ohm_range,gas_resistance_ohm_slope,sraw_mean,sraw_std,sraw_min,sraw_max,sraw_range,sraw_slope,sraw_per_humidity_mean,gas_per_humidity_mean,sraw_gas_ratio_mean
WIN-011,2,diseased,1,2,infected_day_2,5,95,105,2977274,2961874,32.488,0.004000000000002046,32.48,32.49,0.010000000000005116,-0.0020000000000030154,48.676,0.021540659228538744,48.65,48.71,0.060000000000002274,-0.014999999999998617,97649.6,0.4898979485566356,97649.0,97650.0,1.0,-0.3000000000112223,69885.6,1128.6506279624355,68970.0,72056.0,3086.0,675.0999999999965,29098.4,23.465719677862,29052.0,29115.0,63.0,-9.900000000003695,597.7976968405089,1435.7381442982394,0.4164832813624832
WIN-012,2,diseased,1,2,infected_day_2,5,107,115,3019274,3024874,32.512,0.004000000000002046,32.51,32.52,0.010000000000005116,0.0019999999999991236,48.42,0.035213633723316665,48.39,48.48,0.0899999999999963,0.020999999999993395,97650.4,0.4898979485566356,97650.0,97651.0,1.0,0.19999999999596868,74194.4,1197.9052717139198,72556.0,75910.0,3354.0,-738.9999999999983,29127.6,2.3323807579381204,29124.0,29131.0,7.0,-0.400000000000572,601.561645197702,1532.326034469104,0.39268731388404404
WIN-013,2,diseased,1,2,infected_day_2,5,119,127,3310474,3316074,32.62,0.0,32.62,32.62,0.0,0.0,47.876,0.09090654541890716,47.75,48.01,0.259999999999998,-0.06400000000000179,97649.2,0.4,97649.0,97650.0,1.0,-7.970412225479468e-12,93196.0,2246.8498837261027,89449.0,95714.0,6265.0,1515.2000000000041,29164.2,0.7483314773547882,29163.0,29165.0,2.0,-1.992603056369867e-12,609.1633626330074,1946.7059216345672,0.3131188201367266
WIN-014,3,controlled,0,0,healthy,5,132,140,741482,747082,32.028000000000006,0.003999999999999204,32.02,32.03,0.00999999999999801,0.0019999999999991236,47.44,0.03346640106136146,47.38,47.48,0.09999999999999432,0.015999999999995584,97584.8,0.4,97584.0,97585.0,1.0,0.19999999999065507,121606.8,397.0140551668165,121113.0,122084.0,971.0,-70.60000000000366,29466.6,0.7999999999999999,29466.0,29468.0,2.0,-0.4000000000012362,621.1343786920345,2563.387411784456,0.24231303873687016
WIN-015,3,controlled,0,0,healthy,5,142,151,748482,793282,32.065999999999995,0.018547236990990475,32.03,32.08,0.04999999999999716,0.01099999999999518,47.342,0.05192301994298891,47.29,47.43,0.14000000000000057,-0.03400000000000456,97585.2,0.7483314773547882,97584.0,97586.0,2.0,0.29999999999262467,121818.8,376.1820835712408,121288.0,122352.0,1064.0,159.2000000000005,29467.4,1.7435595774162693,29465.0,29470.0,5.0,0.699999999997846,622.4374961814224,2573.175672581883,0.2418976499157785
WIN-016,3,controlled,0,0,healthy,5,153,162,794682,826882,32.092,0.009797958971134245,32.08,32.1,0.020000000000003126,0.005999999999999966,47.184000000000005,0.07255342858886867,47.11,47.29,0.17999999999999972,-0.04899999999999799,97586.0,0.8944271909999159,97585.0,97587.0,2.0,0.6000000000011901,121500.2,308.219661929605,121026.0,121995.0,969.0,78.79999999998981,29477.4,4.882622246293481,29471.0,29482.0,11.0,2.7999999999980263,624.7345871826345,2575.0410174407652,0.2426134425529647
WIN-017,3,controlled,0,0,healthy,5,164,175,828282,882882,32.13,0.020976176963402246,32.1,32.15,0.04999999999999716,0.013999999999997757,47.093999999999994,0.013564659966250352,47.07,47.11,0.03999999999999915,0.00499999999999781,97586.4,0.4898979485566356,97586.0,97587.0,1.0,-0.3000000000112223,121328.6,768.282916639437,120244.0,122531.0,2287.0,-334.30000000001394,29480.2,4.534313619501853,29473.0,29486.0,13.0,-1.699999999998944,625.986402780366,2576.3111415893263,0.24298771837756927
WIN-018,3,controlled,0,0,healthy,5,177,186,884282,955682,32.17,0.01673320053068158,32.15,32.19,0.03999999999999915,0.010999999999999073,47.238,0.09785703858180238,47.11,47.38,0.2700000000000031,0.03899999999999978,97587.8,1.4696938456699067,97586.0,97589.0,3.0,0.8999999999991283,120313.6,334.7426474173854,119899.0,120851.0,952.0,-164.6000000000006,29473.2,2.9257477676655586,29470.0,29478.0,8.0,-1.700000000002929,623.9326792300515,2546.9916348340803,0.24497164166941143
WIN-019,3,diseased,1,3,infected_day_3,5,132,140,1308474,1314074,32.0,0.0,32.0,32.0,0.0,-2.594535229648264e-15,51.928,0.09495261976375327,51.82,52.07,0.25,-0.06600000000000092,97657.0,0.6324555320336759,97656.0,97658.0,2.0,0.29999999999528143,122123.8,722.7520736739536,121464.0,123252.0,1788.0,124.50000000000517,29317.2,1.16619037896906,29316.0,29319.0,3.0,0.5999999999998618,564.5759424958727,2351.809054679475,0.24006969382108861
WIN-020,3,diseased,1,3,infected_day_3,5,142,152,1315474,1815274,32.212,0.10609429767899907,32.0,32.27,0.2700000000000031,0.05099999999999582,50.3,0.7800769192842464,49.9,51.86,1.9600000000000009,-0.3940000000000038,97650.8,3.6,97649.0,97658.0,9.0,-1.7999999999982566,121378.6,515.3564203539139,120851.0,122352.0,1501.0,-256.40000000000197,29334.0,10.545141061171254,29314.0,29343.0,29.0,6.599999999998478,583.3210486642507,2413.514379135591,0.2416782408996656
